Climate scenario,With CO2 yield fertilization,Data source,Point estimate,95 percent CI,Region,Nutrient,Unit per capita,Year,Value
No Climate Change,no,Reference,yes,,South Korea,iron,mg,2010,28.56
No Climate Change,no,Reference,yes,,South Korea,zinc,mg,2010,16.97
No Climate Change,no,Reference,yes,,Laos,protein,g,2010,69.51
No Climate Change,no,Reference,yes,,Laos,iron,mg,2010,14.61
No Climate Change,no,Reference,yes,,Laos,zinc,mg,2010,7.25
No Climate Change,no,Reference,yes,,Lebanon,protein,g,2010,124.48
No Climate Change,no,Reference,yes,,Lebanon,iron,mg,2010,28.27
No Climate Change,no,Reference,yes,,Lebanon,zinc,mg,2010,20.88
No Climate Change,no,Reference,yes,,Liberia,protein,g,2010,46.43
No Climate Change,no,Reference,yes,,Liberia,iron,mg,2010,15.91
No Climate Change,no,Reference,yes,,Liberia,zinc,mg,2010,7.49
No Climate Change,no,Reference,yes,,Libya,protein,g,2010,122.97
No Climate Change,no,Reference,yes,,Libya,iron,mg,2010,30.43
No Climate Change,no,Reference,yes,,Libya,zinc,mg,2010,21.72
No Climate Change,no,Reference,yes,,Sri Lanka,protein,g,2010,72.33
No Climate Change,no,Reference,yes,,Sri Lanka,iron,mg,2010,18.98
No Climate Change,no,Reference,yes,,Sri Lanka,zinc,mg,2010,16.08
No Climate Change,no,Reference,yes,,Lesotho,protein,g,2010,76.81
No Climate Change,no,Reference,yes,,Lesotho,iron,mg,2010,30.35
No Climate Change,no,Reference,yes,,Lesotho,zinc,mg,2010,12.90
No Climate Change,no,Reference,yes,,Moldova,protein,g,2010,97.44
No Climate Change,no,Reference,yes,,Moldova,iron,mg,2010,20.98
No Climate Change,no,Reference,yes,,Moldova,zinc,mg,2010,16.20
No Climate Change,no,Reference,yes,,Madagascar,protein,g,2010,49.12
No Climate Change,no,Reference,yes,,Madagascar,iron,mg,2010,13.92
No Climate Change,no,Reference,yes,,Madagascar,zinc,mg,2010,8.33
No Climate Change,no,Reference,yes,,Mexico,protein,g,2010,108.26
No Climate Change,no,Reference,yes,,Mexico,iron,mg,2010,24.90
No Climate Change,no,Reference,yes,,Mexico,zinc,mg,2010,17.49
No Climate Change,no,Reference,yes,,Mali,protein,g,2010,75.13
No Climate Change,no,Reference,yes,,Mali,iron,mg,2010,28.93
No Climate Change,no,Reference,yes,,Mali,zinc,mg,2010,14.22
No Climate Change,no,Reference,yes,,Myanmar,protein,g,2010,85.13
No Climate Change,no,Reference,yes,,Myanmar,iron,mg,2010,16.73
No Climate Change,no,Reference,yes,,Myanmar,zinc,mg,2010,8.70
No Climate Change,no,Reference,yes,,Mongolia,protein,g,2010,92.73
No Climate Change,no,Reference,yes,,Mongolia,iron,mg,2010,28.14
No Climate Change,no,Reference,yes,,Mongolia,zinc,mg,2010,19.85
No Climate Change,no,Reference,yes,,Morocco,protein,g,2010,124.22
No Climate Change,no,Reference,yes,,Morocco,iron,mg,2010,32.40
No Climate Change,no,Reference,yes,,Morocco,zinc,mg,2010,22.96
No Climate Change,no,Reference,yes,,Mozambique,protein,g,2010,48.72
No Climate Change,no,Reference,yes,,Mozambique,iron,mg,2010,19.23
No Climate Change,no,Reference,yes,,Mozambique,zinc,mg,2010,8.71
No Climate Change,no,Reference,yes,,Mauritania,protein,g,2010,92.17
No Climate Change,no,Reference,yes,,Mauritania,iron,mg,2010,26.96
No Climate Change,no,Reference,yes,,Mauritania,zinc,mg,2010,12.83
No Climate Change,no,Reference,yes,,Malawi,protein,g,2010,65.91
No Climate Change,no,Reference,yes,,Malawi,iron,mg,2010,22.17
No Climate Change,no,Reference,yes,,Malawi,zinc,mg,2010,11.02
No Climate Change,no,Reference,yes,,Malaysia,protein,g,2010,109.76
No Climate Change,no,Reference,yes,,Malaysia,iron,mg,2010,20.23
No Climate Change,no,Reference,yes,,Malaysia,zinc,mg,2010,13.62
No Climate Change,no,Reference,yes,,Namibia,protein,g,2010,85.80
No Climate Change,no,Reference,yes,,Namibia,iron,mg,2010,33.27
No Climate Change,no,Reference,yes,,Namibia,zinc,mg,2010,12.51
No Climate Change,no,Reference,yes,,Niger,protein,g,2010,92.13
No Climate Change,no,Reference,yes,,Niger,iron,mg,2010,43.53
No Climate Change,no,Reference,yes,,Niger,zinc,mg,2010,19.88
No Climate Change,no,Reference,yes,,Nigeria,protein,g,2010,77.18
No Climate Change,no,Reference,yes,,Nigeria,iron,mg,2010,30.05
No Climate Change,no,Reference,yes,,Nigeria,zinc,mg,2010,14.82
No Climate Change,no,Reference,yes,,Nicaragua,protein,g,2010,65.72
No Climate Change,no,Reference,yes,,Nicaragua,iron,mg,2010,14.28
No Climate Change,no,Reference,yes,,Nicaragua,zinc,mg,2010,10.57
No Climate Change,no,Reference,yes,,Netherlands,protein,g,2010,122.78
No Climate Change,no,Reference,yes,,Netherlands,iron,mg,2010,18.78
No Climate Change,no,Reference,yes,,Netherlands,zinc,mg,2010,17.54
No Climate Change,no,Reference,yes,,Norway,protein,g,2010,125.32
No Climate Change,no,Reference,yes,,Norway,iron,mg,2010,21.55
No Climate Change,no,Reference,yes,,Norway,zinc,mg,2010,19.59
No Climate Change,no,Reference,yes,,Nepal,protein,g,2010,66.64
No Climate Change,no,Reference,yes,,Nepal,iron,mg,2010,22.82
No Climate Change,no,Reference,yes,,Nepal,zinc,mg,2010,12.72
No Climate Change,no,Reference,yes,,New Zealand,protein,g,2010,120.37
No Climate Change,no,Reference,yes,,New Zealand,iron,mg,2010,22.90
No Climate Change,no,Reference,yes,,New Zealand,zinc,mg,2010,18.57
No Climate Change,no,Reference,yes,,Other Atlantic,protein,g,2010,52.27
No Climate Change,no,Reference,yes,,Other Atlantic,iron,mg,2010,16.39
No Climate Change,no,Reference,yes,,Other Atlantic,zinc,mg,2010,7.42
No Climate Change,no,Reference,yes,,Other Balkans,protein,g,2010,68.04
No Climate Change,no,Reference,yes,,Other Balkans,iron,mg,2010,14.71
No Climate Change,no,Reference,yes,,Other Balkans,zinc,mg,2010,11.25
No Climate Change,no,Reference,yes,,Other Indian Ocean,protein,g,2010,47.18
No Climate Change,no,Reference,yes,,Other Indian Ocean,iron,mg,2010,12.53
No Climate Change,no,Reference,yes,,Other Indian Ocean,zinc,mg,2010,7.13
No Climate Change,no,Reference,yes,,Other Pacific Ocean,protein,g,2010,65.36
No Climate Change,no,Reference,yes,,Other Pacific Ocean,iron,mg,2010,16.25
No Climate Change,no,Reference,yes,,Other Pacific Ocean,zinc,mg,2010,10.69
No Climate Change,no,Reference,yes,,Other Southeast Asia,protein,g,2010,130.27
No Climate Change,no,Reference,yes,,Other Southeast Asia,iron,mg,2010,22.97
No Climate Change,no,Reference,yes,,Other Southeast Asia,zinc,mg,2010,16.92
No Climate Change,no,Reference,yes,,Pakistan,protein,g,2010,72.29
No Climate Change,no,Reference,yes,,Pakistan,iron,mg,2010,20.61
No Climate Change,no,Reference,yes,,Pakistan,zinc,mg,2010,11.94
No Climate Change,no,Reference,yes,,Panama,protein,g,2010,85.16
No Climate Change,no,Reference,yes,,Panama,iron,mg,2010,16.14
No Climate Change,no,Reference,yes,,Panama,zinc,mg,2010,13.93
No Climate Change,no,Reference,yes,,Peru,protein,g,2010,77.81
No Climate Change,no,Reference,yes,,Peru,iron,mg,2010,19.00
No Climate Change,no,Reference,yes,,Peru,zinc,mg,2010,12.94
No Climate Change,no,Reference,yes,,Philippines,protein,g,2010,72.19
No Climate Change,no,Reference,yes,,Philippines,iron,mg,2010,13.70
No Climate Change,no,Reference,yes,,Philippines,zinc,mg,2010,7.99
No Climate Change,no,Reference,yes,,Papua New Guinea,protein,g,2010,39.73
No Climate Change,no,Reference,yes,,Papua New Guinea,iron,mg,2010,19.37
No Climate Change,no,Reference,yes,,Papua New Guinea,zinc,mg,2010,7.71
No Climate Change,no,Reference,yes,,Poland,protein,g,2010,125.33
No Climate Change,no,Reference,yes,,Poland,iron,mg,2010,23.89
No Climate Change,no,Reference,yes,,Poland,zinc,mg,2010,19.64
No Climate Change,no,Reference,yes,,North Korea,protein,g,2010,67.64
No Climate Change,no,Reference,yes,,North Korea,iron,mg,2010,20.47
No Climate Change,no,Reference,yes,,North Korea,zinc,mg,2010,11.61
No Climate Change,no,Reference,yes,,Portugal,protein,g,2010,141.12
No Climate Change,no,Reference,yes,,Portugal,iron,mg,2010,24.50
No Climate Change,no,Reference,yes,,Portugal,zinc,mg,2010,20.46
No Climate Change,no,Reference,yes,,Paraguay,protein,g,2010,82.16
No Climate Change,no,Reference,yes,,Paraguay,iron,mg,2010,19.00
No Climate Change,no,Reference,yes,,Paraguay,zinc,mg,2010,13.85
No Climate Change,no,Reference,yes,,Palestine,protein,g,2010,95.64
No Climate Change,no,Reference,yes,,Palestine,iron,mg,2010,22.39
No Climate Change,no,Reference,yes,,Palestine,zinc,mg,2010,16.54
